input,output
-10.0,1.8381639609153977
-9.9,2.1856208739945804
-9.8,2.728668347748787
-9.700000000000001,3.679708916966415
-9.600000000000001,5.736353261206668
-9.500000000000002,13.306521496631973
-9.400000000000002,-40.362576276821486
-9.300000000000002,-8.035069962061216
-9.200000000000003,-4.486519742395409
-9.100000000000003,-3.133829935088869
-9.000000000000004,-2.426486643700115
-8.900000000000004,-1.9959248944099215
-8.800000000000004,-1.7096437105306699
-8.700000000000005,-1.5083656293962606
-8.600000000000005,-1.361661154163102
-8.500000000000005,-1.2523683653161535
-8.400000000000006,-1.1701395713485165
-8.300000000000006,-1.1084362896044353
-8.200000000000006,-1.063003633609383
-8.100000000000007,-1.0310449588105104
-8.000000000000007,-1.010756218427946
-7.9000000000000075,-1.0010597801149421
-7.800000000000008,-1.0014587795667282
-7.700000000000008,-1.0119734329827967
-7.6000000000000085,-1.0331435849965254
-7.500000000000009,-1.0660981074040634
-7.400000000000009,-1.112708347299853
-7.30000000000001,-1.1758665792869263
-7.20000000000001,-1.2599729000180593
-7.10000000000001,-1.3718003714439428
-7.000000000000011,-1.5221010625686073
-6.900000000000011,-1.7287884781886937
-6.800000000000011,-2.0238271191419406
-6.700000000000012,-2.4700511203580477
-6.600000000000012,-3.2098466444607032
-6.500000000000012,-4.6485684984571645
-6.400000000000013,-8.580067112233586
-6.300000000000013,-59.474599697801736
-6.2000000000000135,12.035229114966958
-6.100000000000014,5.489603933583896
-6.000000000000014,3.578899547667684
-5.900000000000015,2.674678828785287
-5.800000000000015,2.1523790552248383
-5.700000000000015,1.8159183826807195
-5.600000000000016,1.5841166632412313
-5.500000000000016,1.4173534293749057
-5.400000000000016,1.2940553249333258
-5.300000000000017,1.201536848933081
-5.200000000000017,1.1319200068983686
-5.100000000000017,1.0801297701128574
-5.000000000000018,1.0428352127366056
-4.900000000000018,1.017860797609859
-4.8000000000000185,1.0038501580285253
-4.700000000000019,1.000076748332637
-4.600000000000019,1.0063490525355143
-4.5000000000000195,1.0229863837256208
-4.40000000000002,1.0508594163852836
-4.30000000000002,1.091505326583095
-4.200000000000021,1.1473471746697925
-4.100000000000021,1.2220798876699115
-4.000000000000021,1.321348708718864
-3.9000000000000212,1.4539825588232023
-3.800000000000021,1.6343664350973073
-3.700000000000021,1.8873759692983227
-3.600000000000021,2.2597826048398666
-3.500000000000021,2.850763437879418
-3.400000000000021,3.9132648032379427
-3.3000000000000207,6.339317249900856
-3.2000000000000206,17.13087235489929
-3.1000000000000205,-24.049640897895816
-3.0000000000000204,-7.0861673955580375
-2.9000000000000203,-4.179740036381919
-2.8000000000000203,-2.985180221079431
-2.70000000000002,-2.339838739026717
-2.60000000000002,-1.9398590472922739
-2.50000000000002,-1.670921545570998
-2.40000000000002,-1.480465595751387
-2.30000000000002,-1.3410124853489733
-2.2000000000000197,-1.2368638812040107
-2.1000000000000196,-1.1584675035092544
-2.0000000000000195,-1.0997501702894628
-1.9000000000000195,-1.0567472337893586
-1.8000000000000194,-1.0268546827605245
-1.7000000000000193,-1.0084052489136797
-1.6000000000000192,-1.0004265788586633
-1.500000000000019,-1.002511304249489
-1.400000000000019,-1.014765106295754
-1.300000000000019,-1.0378200456328974
-1.2000000000000188,-1.072916377696398
-1.1000000000000187,-1.122073318523185
-1.0000000000000187,-1.1883951057770308
-0.9000000000000187,-1.2766062135251457
-0.8000000000000187,-1.394007819405715
-0.7000000000000187,-1.5522703269608096
-0.6000000000000187,-1.771032196403256
-0.5000000000000188,-2.0858296428802823
-0.4000000000000188,-2.5679324555407463
-0.3000000000000188,-3.383863362444502
-0.2000000000000188,-5.033489547707611
-0.1000000000000188,-10.016686129642384
